input,time,language,algorithm
1000,760,C,insertion_iterative
1000,743,C,insertion_iterative
1000,748,C,insertion_iterative
1000,778,C,insertion_iterative
2000,2990,C,insertion_iterative
2000,3014,C,insertion_iterative
2000,2967,C,insertion_iterative
2000,2994,C,insertion_iterative
2000,2970,C,insertion_iterative
2000,3022,C,insertion_iterative
2000,2990,C,insertion_iterative
2000,2980,C,insertion_iterative
2000,3092,C,insertion_iterative
2000,3153,C,insertion_iterative
3000,6623,C,insertion_iterative
3000,6716,C,insertion_iterative
3000,6636,C,insertion_iterative
3000,6611,C,insertion_iterative
3000,6561,C,insertion_iterative
3000,6763,C,insertion_iterative
3000,6735,C,insertion_iterative
3000,6507,C,insertion_iterative
3000,6613,C,insertion_iterative
3000,6586,C,insertion_iterative
4000,11609,C,insertion_iterative
4000,11560,C,insertion_iterative
4000,12065,C,insertion_iterative
4000,11749,C,insertion_iterative
4000,11827,C,insertion_iterative
4000,11981,C,insertion_iterative
4000,11934,C,insertion_iterative
4000,11505,C,insertion_iterative
4000,11511,C,insertion_iterative
4000,11658,C,insertion_iterative
5000,18166,C,insertion_iterative
5000,18605,C,insertion_iterative
5000,18669,C,insertion_iterative
5000,18361,C,insertion_iterative
5000,18142,C,insertion_iterative
5000,18500,C,insertion_iterative
5000,18720,C,insertion_iterative
5000,17908,C,insertion_iterative
5000,18259,C,insertion_iterative
5000,18584,C,insertion_iterative
6000,26094,C,insertion_iterative
6000,26754,C,insertion_iterative
6000,25944,C,insertion_iterative
6000,26020,C,insertion_iterative
6000,26484,C,insertion_iterative
6000,26553,C,insertion_iterative
6000,27390,C,insertion_iterative
6000,26561,C,insertion_iterative
6000,26584,C,insertion_iterative
6000,26747,C,insertion_iterative
7000,40214,C,insertion_iterative
7000,62154,C,insertion_iterative
7000,62406,C,insertion_iterative
7000,51576,C,insertion_iterative
7000,35691,C,insertion_iterative
7000,39030,C,insertion_iterative
7000,46201,C,insertion_iterative
7000,45899,C,insertion_iterative
7000,46797,C,insertion_iterative
7000,47446,C,insertion_iterative
8000,60173,C,insertion_iterative
8000,59075,C,insertion_iterative
8000,47549,C,insertion_iterative
8000,47353,C,insertion_iterative
8000,47290,C,insertion_iterative
8000,46867,C,insertion_iterative
8000,46987,C,insertion_iterative
8000,47280,C,insertion_iterative
8000,46740,C,insertion_iterative
8000,46044,C,insertion_iterative
9000,59284,C,insertion_iterative
9000,59310,C,insertion_iterative
9000,59853,C,insertion_iterative
9000,60076,C,insertion_iterative
9000,59286,C,insertion_iterative
9000,66349,C,insertion_iterative
9000,64880,C,insertion_iterative
9000,60688,C,insertion_iterative
9000,61501,C,insertion_iterative
9000,60256,C,insertion_iterative
10000,76858,C,insertion_iterative
10000,85779,C,insertion_iterative
10000,98058,C,insertion_iterative
10000,90919,C,insertion_iterative
10000,89780,C,insertion_iterative
10000,87266,C,insertion_iterative
10000,88391,C,insertion_iterative
10000,87222,C,insertion_iterative
10000,88095,C,insertion_iterative
10000,93931,C,insertion_iterative
11000,100073,C,insertion_iterative
11000,89183,C,insertion_iterative
11000,87840,C,insertion_iterative
11000,88898,C,insertion_iterative
11000,89093,C,insertion_iterative
